2018-12-26 22:31:36.9999 Info Loading Cardigann definition /app/Jackett/Definitions/mononokebt.yml 
2018-12-26 22:31:37.0025 Info Loading Cardigann definition /app/Jackett/Definitions/mteamtp.yml 
2018-12-26 22:31:37.0108 Info Loading Cardigann definition /app/Jackett/Definitions/mvgroupforum.yml 
2018-12-26 22:31:37.0157 Info Loading Cardigann definition /app/Jackett/Definitions/mvgroupmain.yml 
2018-12-26 22:31:37.0205 Info Loading Cardigann definition /app/Jackett/Definitions/myspleen.yml 
2018-12-26 22:31:37.0243 Info Loading Cardigann definition /app/Jackett/Definitions/nethd.yml 
2018-12-26 22:31:37.0281 Info Loading Cardigann definition /app/Jackett/Definitions/newretro.yml 
2018-12-26 22:31:37.0345 Info Loading Cardigann definition /app/Jackett/Definitions/newstudio.yml 
2018-12-26 22:31:37.0389 Info Loading Cardigann definition /app/Jackett/Definitions/nnm-club.yml 
2018-12-26 22:31:37.1173 Info Loading Cardigann definition /app/Jackett/Definitions/nyaa-pantsu.yml 
2018-12-26 22:31:37.1218 Info Loading Cardigann definition /app/Jackett/Definitions/nyaasi.yml 
2018-12-26 22:31:37.1267 Info Loading Cardigann definition /app/Jackett/Definitions/nyoo.yml 
2018-12-26 22:31:37.1267 Info Loading Cardigann definition /app/Jackett/Definitions/ourbits.yml 
2018-12-26 22:31:37.1329 Info Loading Cardigann definition /app/Jackett/Definitions/passionetorrent.yml 
2018-12-26 22:31:37.1380 Info Loading Cardigann definition /app/Jackett/Definitions/polishsource.yml 
2018-12-26 22:31:37.1420 Info Loading Cardigann definition /app/Jackett/Definitions/prostylex.yml 
2018-12-26 22:31:37.1473 Info Loading Cardigann definition /app/Jackett/Definitions/ptfiles.yml 
2018-12-26 22:31:37.1524 Info Loading Cardigann definition /app/Jackett/Definitions/puntotorrent.yml 
2018-12-26 22:31:37.1606 Info Loading Cardigann definition /app/Jackett/Definitions/racing4everyone.yml 
2018-12-26 22:31:37.1651 Info Loading Cardigann definition /app/Jackett/Definitions/redstartorrent.yml 
2018-12-26 22:31:37.1695 Info Loading Cardigann definition /app/Jackett/Definitions/redtopia.yml 
2018-12-26 22:31:37.1734 Info Loading Cardigann definition /app/Jackett/Definitions/retroflix.yml 
2018-12-26 22:31:37.1766 Info Loading Cardigann definition /app/Jackett/Definitions/rgu.yml 
